apiKeyId,provider,model,promptTokens,completionTokens,costUsd,costEstimated,latencyMs,cacheHit,cacheKind,status,createdAt
key-1,local,local-small,32,49,0.00002280,f,123,f,,success,2026-08-24 18:01:40.558
key-1,local,local-small,33,50,0.00002330,f,170,f,,success,2026-08-24 18:01:40.56
key-1,local,local-small,33,50,0.00002330,f,164,f,,success,2026-08-24 18:01:40.561
key-1,local,local-small,26,43,0.00001980,f,194,f,,success,2026-08-24 18:01:40.564
key-1,local,local-small,30,47,0.00002180,f,337,f,,success,2026-08-24 18:01:40.656
key-1,local,local-small,28,45,0.00002080,f,125,f,,success,2026-08-24 18:01:40.695
key-1,local,local-small,28,45,0.00002080,f,126,f,,success,2026-08-24 18:01:40.696
key-1,local,local-small,29,46,0.00002130,f,303,f,,success,2026-08-24 18:01:40.726
key-1,local,local-small,30,47,0.00002180,f,121,f,,success,2026-08-24 18:01:40.737
key-1,local,local-small,28,45,0.00002080,f,124,f,,success,2026-08-24 18:01:40.776
key-1,local,local-small,32,49,0.00002280,f,122,f,,success,2026-08-24 18:01:40.799
key-1,cache,local-small,0,0,0.00000000,f,333,t,semantic,success,2026-08-24 18:01:40.901
key-1,local,local-small,28,45,0.00002080,f,120,f,,success,2026-08-24 18:01:40.909
key-1,local,local-small,30,47,0.00002180,f,122,f,,success,2026-08-24 18:01:40.91
key-1,local,local-small,30,47,0.00002180,f,263,f,,success,2026-08-24 18:01:40.98
key-1,local,local-small,29,46,0.00002130,f,260,f,,success,2026-08-24 18:01:40.993
key-1,local,local-small,29,46,0.00002130,f,119,f,,success,2026-08-24 18:01:41.068
key-1,local,local-small,33,50,0.00002330,f,120,f,,success,2026-08-24 18:01:41.106
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:41.24
key-1,local,local-small,30,47,0.00002180,f,251,f,,success,2026-08-24 18:01:41.323
key-1,local,local-small,32,49,0.00002280,f,121,f,,success,2026-08-24 18:01:41.366
key-1,local,local-small,30,47,0.00002180,f,131,f,,success,2026-08-24 18:01:41.454
key-1,local,local-small,31,48,0.00002230,f,124,f,,success,2026-08-24 18:01:41.56
key-1,local,local-small,33,50,0.00002330,f,121,f,,success,2026-08-24 18:01:41.662
key-1,local,local-small,29,46,0.00002130,f,283,f,,success,2026-08-24 18:01:41.674
key-1,local,local-small,27,44,0.00002030,f,121,f,,success,2026-08-24 18:01:41.693
key-1,local,local-small,27,44,0.00002030,f,251,f,,success,2026-08-24 18:01:41.762
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:41.775
key-1,local,local-small,31,48,0.00002230,f,121,f,,success,2026-08-24 18:01:41.828
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:41.839
key-1,local,local-small,32,49,0.00002280,f,282,f,,success,2026-08-24 18:01:41.964
key-1,local,local-small,32,49,0.00002280,f,123,f,,success,2026-08-24 18:01:42.013
key-1,local-backup,local-small,30,47,0.00002180,f,388,f,,success,2026-08-24 18:01:42.015
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:42.047
key-1,local,local-small,28,45,0.00002080,f,121,f,,success,2026-08-24 18:01:42.072
key-1,local,local-small,31,48,0.00002230,f,120,f,,success,2026-08-24 18:01:42.101
key-1,local,local-small,31,48,0.00002230,f,120,f,,success,2026-08-24 18:01:42.166
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:42.24
key-1,local,local-small,29,46,0.00002130,f,133,f,,success,2026-08-24 18:01:42.325
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:42.365
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:42.431
